Date,T2M,PS,QV2M,WS2M,GWETTOP,moon_X,moon_Y,moon_Z,moon_VX,moon_VY,moon_VZ,sun_X,sun_Y,sun_Z,sun_VX,sun_VY,sun_VZ,jupiter_X,jupiter_Y,jupiter_Z,jupiter_VX,jupiter_VY,jupiter_VZ,venus_X,venus_Y,venus_Z,venus_VX,venus_VY,venus_VZ
2020-01-01,22.9,92.0,13.62,2.45,0.51,390185.6393400028,-98340.76034400756,-34449.66114252908,0.2487277177505814,0.9357371983658964,-0.0350412900095031,24884971.52985318,-144978347.1519303,6171.709629841149,29.84892047143305,5.162374704853356,-0.0007366600043783,103595450.8159052,-923040239.8713528,1476794.144913673,42.70269235665086,7.096179294052979,-0.2963954516858083,133074196.5047598,-137117221.6293041,-6129250.19610329,27.16989696662571,39.9323268350597,0.6309557220782249
2020-01-02,23.45,92.09,13.71,2.32,0.5,402597.8500995293,-15924.01356050989,-36666.1181410139,0.0376600857392637,0.9648577011905742,-0.016085991120286,27459802.12393232,-144509759.1682957,6116.887968093157,29.75208160077682,5.684204813770031,-0.0005301610018748,107280806.5539176,-922403764.2957428,1451193.331643701,42.60401176647881,7.637050523954282,-0.2962131884472701,135375799.5388097,-133647933.1061595,-6072363.922229238,26.10672744219799,40.37043465220371,0.6857776220430125
2020-01-03,23.88,92.01,13.76,1.85,0.5,396643.4732891928,67137.78627816646,-37208.45343586117,-0.1751404969948097,0.9506382666114708,0.0035938051814859,30025863.81007168,-143996182.0648797,6080.354373447597,29.6459573767656,6.203760756078969,-0.0003147541276353,110957164.4097712,-921720770.3894762,1425603.68893981,42.4967182552997,8.172747899526243,-0.2961120690265608,137585240.0148278,-130142049.2828391,-6010762.125539668,25.03664853854984,40.77941978377303,0.7401029159173245
2020-01-04,24.38,91.85,14.33,1.39,0.5,372505.7276377613,147102.0700194658,-36044.71804587885,-0.3819564115165783,0.8932411715710139,0.0232862147486439,32582359.79582509,-143437819.6538077,6062.506451241672,29.5306749178563,6.720874507323525,-9.908113343648496e-05,114623949.6763867,-920991393.4993652,1400031.77846247,42.37979878581537,8.710231527397065,-0.295861936173075,139701958.358424,-126602091.2480752,-5944489.894231819,23.96052647149494,41.15917393830524,0.793881130368586
2020-01-05,24.15,91.83,14.62,1.86,0.5,331041.5271851863,220271.6985907529,-33205.49849281453,-0.5748638220872595,0.7935798262759113,0.0422510091456533,35128504.49874069,-142834889.854202,6062.982639506459,29.40636716081021,7.235387845054253,0.000107871353645,118280198.8181854,-920215843.3197242,1374474.685850739,42.25491501098285,9.242684830708953,-0.2956985541296091,141725470.026247,-123030588.1660372,-5873596.675839178,22.87923233068326,41.50961878430662,0.8470617782913834
2020-01-06,23.64,92.0,13.81,3.25,0.5,273810.2224207995,283069.6925910937,-28787.48013451905,-0.7454975245836808,0.6535874942201869,0.0596949054706846,37663524.18117252,-142187623.7228418,6080.618872061372,29.27317570314919,7.747155682981753,0.0002964716174345,121925216.2130442,-919394255.6507834,1348935.764764488,42.1186335918122,9.774004594402472,-0.2955274447502152,143655366.0361386,-119430074.5643639,-5798136.290617183,21.79364438778579,41.83070930488695,0.8995940897053565
2020-01-07,22.47,92.01,12.31,3.05,0.49,203116.1693908546,332147.4306745203,-22958.68512110016,-0.8849885719872194,0.4767166857030847,0.0747596629678279,40186657.75174202,-141496264.072208,6113.384899146855,29.13125154414276,8.256052207603478,0.0004562983089937,125558193.1518448,-918526981.7419132,1323408.940274179,41.97639395533189,10.30262130739893,-0.2953312314927188,145491313.6176288,-115803087.2083875,-5718166.962582737,20.7046482998182,42.12243994146364,0.9514268983350788
2020-01-08,22.33,91.94,11.74,1.88,0.49,122044.163100821,364543.5593410873,-15963.69152361786,-0.9842156510558486,0.2685945206845319,0.0865368474303362,42697157.47854243,-140761063.4664288,6158.320847131312,28.98075201134887,8.761978909763167,0.0005763199889199,129178300.7097375,-917614094.3738748,1297896.812972605,41.82134264484543,10.82723252904537,-0.2952780632840448,147233056.7275829,-112152161.3532346,-5633751.347625874,19.6131334949117,42.38485261873762,1.002508852267615
2020-01-09,22.58,91.92,12.04,1.74,0.49,34454.84787681411,377900.6472083104,-8125.918180840032,-1.034496949886978,0.0376669832546005,0.0941230000647851,45194289.21429489,-139982281.5096748,6211.509445942938,28.82183233270986,9.264872481275765,0.000645565650601,132784802.4967906,-916656073.064147,1272386.953657866,41.66034306689181,11.34927276353092,-0.2952263608317325,148880416.0309542,-108479826.2895468,-5544956.523266353,18.51998420083461,42.61804462082281,1.052789115561959
2020-01-10,21.96,91.93,12.14,3.18,0.49,-55100.66138724627,370727.4579651701,156.9062696723558,-1.028762557299562,-0.2044429029845805,0.096722391515675,47677331.63793358,-139160181.5743282,6268.131090052426,28.65463136772764,9.764709235823576,0.0006543734454216,136376936.2125675,-915653170.887881,1246874.448971689,41.4908884000532,11.86531814566377,-0.2953387865971493,150433287.8508921,-104788600.3313532,-5451853.892892934,17.42606463010609,42.82217297748976,1.102218648009652
